%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743294597464E+018,69.6504364014,-17.2756004333,-63.2249908447,50,56.9922714233,26.3733997345,60.7870521545,65.9378585815,17.7176399231,62.7200088501,69.6403579712,32.7296905518,18.7513942719,54.6715431213,30.535774231,7.0714278221,15.8372077942,8.4939804077
1.49743294597464E+018,69.6504364014,-17.2756004333,-63.2249908447,50,56.9922714233,25.5107555389,60.7870521545,65.9378585815,17.7176399231,62.7200088501,67.9778213501,34.3171882629,18.7513942719,54.6715431213,30.535774231,7.0714278221,15.8372077942,8.4939804077
1.49743294597465E+018,68.7669525146,-16.8561477661,-63.2249908447,50,56.9922714233,25.5107555389,60.7870521545,65.9378585815,17.7176399231,62.7200088501,67.9778213501,35.1109390259,18.7513942719,54.6715431213,30.535774231,7.0714278221,15.8372077942,8.4939804077
1.49743294597466E+018,68.7669525146,-16.8561477661,-63.2249908447,50,56.9922714233,25.5107555389,60.7870521545,64.3050003052,17.7176399231,62.7200088501,67.9778213501,35.1109390259,18.7513942719,54.6715431213,31.2585372925,7.0714278221,15.8372077942,8.4939804077
1.49743294601563E+018,68.7669525146,-16.2968826294,-58.6529808044,50,56.9922714233,25.5107555389,60.7870521545,64.3050003052,17.7176399231,62.7200088501,67.1465454102,35.9046859741,17.6881351471,53.9681549072,31.2585372925,7.7971439362,15.8372077942,8.4939804077
1.49743294601565E+018,68.7669525146,-16.2968826294,-56.3669929504,50,56.9922714233,25.5107555389,60.7870521545,63.4885673523,17.7176399231,62.7200088501,67.1465454102,36.6984367371,17.6881351471,53.9681549072,31.6715431213,7.7971439362,15.8372077942,8.4939804077
1.49743294601566E+018,68.7669525146,-16.2968826294,-54.0809898376,50,56.9922714233,25.5107555389,60.7870521545,63.4885673523,17.7176399231,60.1800079346,66.3152770996,37.4921875,17.6881351471,53.9681549072,31.6715431213,7.7971439362,15.8372077942,8.4939804077
1.49743294601567E+018,68.7669525146,-16.2968826294,-49.5089797974,50,56.9922714233,23.7854766846,58.0976333618,63.4885673523,17.7176399231,60.1800079346,66.3152770996,38.2859382629,17.6881351471,52.5613822937,32.0845527649,7.7971439362,15.8372077942,8.7899036408
1.49743294601568E+018,68.7669525146,-16.2968826294,-44.9369888306,50,56.0869216919,23.7854766846,58.0976333618,63.4885673523,17.7176399231,58.7285766602,65.4840011597,38.2859382629,17.6881351471,52.5613822937,32.4975624084,7.7971439362,15.8372077942,8.7899036408
1.49743294605763E+018,68.7669525146,-16.2968826294,-38.078994751,50,56.0869216919,23.7854766846,58.0976333618,63.4885673523,17.7176399231,58.7285766602,65.4840011597,39.0796852112,17.6881351471,52.5613822937,32.9105682373,7.7971439362,15.8372077942,8.7899036408
1.49743294605765E+018,68.7669525146,-16.2968826294,-33.5069847107,50,56.0869216919,23.7854766846,58.0976333618,63.4885673523,14.7294082642,57.2771453857,64.6527252197,39.0796852112,16.6248855591,51.8579978943,32.9105682373,7.7971439362,15.8372077942,8.7899036408
1.49743294605766E+018,68.7669525146,-16.2968826294,-27.2204971313,50,54.2762374878,23.7854766846,58.0976333618,63.4885673523,14.7294082642,57.2771453857,64.6527252197,40.6671905518,16.6248855591,51.8579978943,32.9105682373,7.7971439362,15.8372077942,8.7899036408
1.49743294605767E+018,68.7669525146,-16.2968826294,-22.6484889984,50,54.2762374878,23.7854766846,58.0976333618,63.4885673523,14.7294082642,55.8257141113,63.8214492798,41.4609413147,16.6248855591,51.1546211243,32.9105682373,7.7971439362,15.8372077942,8.7899036408
1.49743294606035E+018,67,-16.2968826294,-18.0764980316,50,53.370891571,23.7854766846,52.7188224792,62.6721496582,14.7294082642,54.374294281,62.9901771545,43.0484390259,16.6248855591,51.1546211243,32.9105682373,6.3457121849,15.8372077942,9.184466362
1.49743294606967E+018,67,-16.2968826294,-15.7904930115,50,53.370891571,23.7854766846,52.7188224792,62.6721496582,14.7294082642,54.374294281,62.9901771545,43.0484390259,16.6248855591,50.4512367249,32.9105682373,5.075712204,15.8372077942,9.184466362
1.49743294611065E+018,67,-16.2968826294,-13.504488945,50,53.370891571,23.7854766846,52.7188224792,61.0392875671,20.7058811188,52.9228591919,62.1589012146,43.8421897888,16.6248855591,50.4512367249,32.9105682373,3.6242859364,15.0724754333,9.184466362
1.49743294611066E+018,66.1165161133,-16.8561477661,-11.2184839249,50,53.370891571,22.0601902008,50.0294036865,60.222858429,23.6941108704,52.9228591919,61.3276405334,44.4375,16.6248855591,49.9236946106,32.9105682373,2.1728596687,15.0724754333,9.184466362
1.49743294611067E+018,65.233039856,-16.8561477661,-8.9324970245,50,53.370891571,21.1975460052,52.7188224792,59.4064292908,23.6941108704,52.9228591919,61.3276405334,45.2312507629,16.6248855591,49.9236946106,32.9105682373,0.7214280963,15.0724754333,9.184466362
1.49743294611068E+018,65.233039856,-16.8561477661,-8.9324970245,50,53.370891571,21.1975460052,52.7188224792,58.5900001526,26.682352066,52.9228591919,60.4963645935,45.2312507629,16.6248855591,49.9236946106,32.9105682373,-1.4557139874,15.0724754333,9.184466362
1.49743294615265E+018,64.349571228,-15.7376146317,-8.9324970245,50,53.370891571,20.3349094391,50.0294036865,57.7735671997,26.682352066,52.9228591919,59.6650924683,45.2312507629,16.6248855591,49.9236946106,32.9105682373,-2.9071457386,15.0724754333,9.184466362
1.49743294615267E+018,63.4660949707,-15.7376146317,-8.9324970245,50,52.4655418396,20.3349094391,52.7188224792,56.9571495056,23.6941108704,52.9228591919,59.6650924683,45.2312507629,16.6248855591,49.9236946106,32.9105682373,-3.6328561306,15.0724754333,9.5790300369
